,last_updated,github_link,app_id,category,repo,username,commits,contributors,created_at,forks,stars
118,2016-11-11,https://github.com/openfoodfacts/OpenFoodFacts-androidApp,openfoodfacts.github.scrachx.openfood,Sports & Health,OpenFoodFacts-androidApp,openfoodfacts,349.0,10.0,2015-05-06 18:09:55,29.0,42.0
119,2016-11-11,https://github.com/metinkale38/namaz-vakti-android,com.metinkale.prayer,Reading,namaz-vakti-android,metinkale38,257.0,2.0,2015-12-31 12:21:08,12.0,13.0
120,2016-11-11,https://github.com/enricocid/lffl-feed-reader,com.iven.lfflfeedreader,Reading,lffl-feed-reader,enricocid,149.0,1.0,2014-12-07 12:41:17,22.0,41.0
121,2016-11-11,https://github.com/caarmen/poet-assistant,ca.rmen.android.poetassistant,Writing,poet-assistant,caarmen,381.0,1.0,2016-02-14 05:09:02,1.0,8.0
122,2016-11-11,https://github.com/andDevW/getChromium,com.anddevw.getchromium,Internet,getChromium,andDevW,156.0,1.0,2016-03-23 04:16:16,3.0,26.0
123,2016-11-11,https://github.com/SecUSo/privacy-friendly-qr-scanner,com.secuso.privacyFriendlyCodeScanner,Multimedia,privacy-friendly-qr-scanner,SecUSo,34.0,4.0,2015-09-28 09:11:50,1.0,14.0
124,2016-11-11,https://github.com/SecUSo/privacy-friendly-pin-mnemonic,org.secuso.privacyfriendlypin,System,privacy-friendly-pin-mnemonic,SecUSo,191.0,2.0,2015-10-27 12:43:05,4.0,4.0
125,2016-11-11,https://github.com/JohnMHarrisJr/BoogDroid,me.johnmh.boogdroid,Development,BoogDroid,JohnMHarrisJr,178.0,4.0,2015-12-28 18:00:33,2.0,4.0
126,2016-11-08,https://github.com/samuelclay/NewsBlur,com.newsblur,Reading,NewsBlur,samuelclay,11030.0,65.0,2009-01-05 14:00:43,816.0,4488.0
127,2016-11-08,https://github.com/jroal/a2dpvolume,a2dp.Vol,Multimedia,a2dpvolume,jroal,236.0,3.0,2015-03-14 12:36:40,8.0,24.0
128,2016-11-08,https://github.com/happyalu/Flite-TTS-Engine-for-Android,edu.cmu.cs.speech.tts.flite,Multimedia,Flite-TTS-Engine-for-Android,happyalu,115.0,2.0,2010-03-27 19:32:11,56.0,80.0
130,2016-11-08,https://github.com/greenaddress/GreenBits,com.greenaddress.greenbits_android_wallet,Money,GreenBits,greenaddress,1406.0,10.0,2015-01-21 23:50:15,26.0,31.0
131,2016-11-08,https://github.com/free-software-for-android/NTPSync,org.ntpsync,System,NTPSync,free-software-for-android,120.0,3.0,2012-07-15 15:50:46,25.0,54.0
132,2016-11-08,https://github.com/forrestguice/SuntimesWidget,com.forrestguice.suntimeswidget,Time,SuntimesWidget,forrestguice,346.0,3.0,2015-02-23 02:41:09,3.0,8.0
133,2016-11-08,https://github.com/anthonycr/Lightning-Browser,acr.browser.lightning,Internet,Lightning-Browser,anthonycr,1054.0,45.0,2013-02-01 19:25:59,410.0,739.0
134,2016-11-08,https://github.com/SecUSo/privacy-friendly-sudoku,org.secuso.privacyfriendlysudoku,Games,privacy-friendly-sudoku,SecUSo,164.0,6.0,2015-11-06 13:14:43,9.0,12.0
135,2016-11-08,https://github.com/PhotoBackup/client-android,fr.s13d.photobackup,Multimedia,client-android,PhotoBackup,219.0,6.0,2015-06-03 20:23:57,10.0,23.0
136,2016-11-08,https://github.com/Free-Software-for-Android/FasterGPS,org.fastergps,System,FasterGPS,Free-Software-for-Android,102.0,2.0,2012-07-15 15:38:53,13.0,48.0
137,2016-11-08,https://github.com/00-Evan/shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon,Games,shattered-pixel-dungeon,00-Evan,1945.0,2.0,2014-07-31 21:56:31,77.0,162.0
138,2016-11-07,https://github.com/vvolas/Awesome-Live-Wallpaper,com.wolas.awesomewallpaper,Theming,Awesome-Live-Wallpaper,vvolas,11.0,2.0,2016-03-31 10:02:37,1.0,1.0
139,2016-11-07,https://github.com/scoute-dich/Weather,de.baumann.weather,Internet,Weather,scoute-dich,41.0,1.0,2016-03-03 16:54:08,6.0,13.0
140,2016-11-07,https://github.com/scoute-dich/Sieben,de.baumann.sieben,Sports & Health,Sieben,scoute-dich,16.0,4.0,2016-02-21 18:39:07,7.0,12.0
141,2016-11-07,https://github.com/redfish64/TinyTravelTracker,com.rareventure.gps2,Navigation,TinyTravelTracker,redfish64,83.0,2.0,2015-09-01 08:41:20,6.0,28.0
142,2016-11-07,https://github.com/mtotschnig/MyExpenses,org.totschnig.myexpenses,Money,MyExpenses,mtotschnig,5351.0,8.0,2012-02-29 15:13:40,65.0,97.0
143,2016-11-07,https://github.com/maks/MGit,com.manichord.mgit,Development,MGit,maks,423.0,26.0,2016-10-14 02:54:01,12.0,38.0
